episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
217;1;null;8.800;2.660;2.060;4.080
218;0;Timer;33.761;3.760;16.980;13.020
219;1;null;22.320;5.680;2.020;14.620
220;0;Timer;34.941;4.940;2.140;27.860
221;0;DragonEscaped;10.180;10.180;0.000;0.000
222;0;DragonEscaped;9.520;9.520;0.000;0.000
223;1;null;22.460;6.100;8.800;7.560
224;1;null;6.280;3.200;0.840;2.240
225;1;null;9.980;6.220;0.960;2.800
226;0;Timer;34.881;4.860;30.021;0.000
227;1;null;17.980;2.260;4.300;11.420
228;1;null;34.701;4.860;27.320;2.520
229;1;null;11.500;8.800;1.060;1.640
230;0;Timer;33.281;3.280;2.620;27.380
231;0;Timer;37.261;7.260;4.640;25.360
232;1;null;16.360;8.020;1.680;6.660
233;1;null;15.840;5.520;2.400;7.920
234;0;Timer;40.821;10.820;3.420;26.580
235;1;null;13.640;6.980;3.800;2.860
236;1;null;10.380;5.560;1.280;3.540
237;1;null;6.060;3.700;0.940;1.420
238;1;null;13.120;5.720;4.820;2.580
239;0;Timer;41.401;11.400;1.700;28.300
240;1;null;32.341;4.720;11.080;16.540
241;1;null;21.620;10.060;0.600;10.960
242;0;Timer;34.941;4.940;2.100;27.900
243;0;Timer;33.101;3.100;2.220;27.780
244;1;null;17.780;7.520;9.300;0.960
245;1;null;20.000;4.660;1.680;13.660
246;1;null;15.360;7.220;4.900;3.240
247;0;Timer;33.361;3.360;1.920;28.080
248;0;Timer;37.301;7.300;2.840;27.160
249;0;Timer;41.221;11.220;11.560;18.440
250;0;Timer;35.681;5.680;1.240;28.760
251;1;null;21.800;6.940;3.720;11.140
252;1;null;34.481;4.500;15.100;14.880
253;1;null;34.881;12.420;12.360;10.100
254;1;null;34.601;5.000;24.860;4.740
255;1;null;21.520;9.840;8.780;2.900
256;1;null;16.780;10.220;4.640;1.920
257;0;Timer;34.321;4.320;30.001;0.000
258;0;Timer;35.881;5.900;1.400;28.580
