episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
24;Introvert;2;1;1;1.24;2;20.052;3;3.67;4.893;0.22;1.6
24;NonConscientious;4;1;0;-1;2;17.152;1.907;3.367;2.794;0.32;1.6
24;Neurotic;0;0;0;-1;0;11.131;0.324;3.473;8.782;0.72;4.04
25;Extrovert;0;0;0;-1;2;18.335;0.774;2.926;7.979;1.9;3.24
25;Introvert;5;2;1;4.979;1;28.846;3;3.15;4.504;0.06;2.1
25;NonConscientious;1;0;0;-1;2;20.814;1.086;2.915;3.67;0.62;2.64
25;Neurotic;0;0;0;-1;1;13.814;0.007;2.634;5.436;0.5;3.24
26;Extrovert;4;1;0;-1;7;18.031;1.472;1.986;3.654;3.22;7.94
26;Introvert;1;0;1;4.201;4;38.749;2.245;2.036;5.491;0.12;6.88
26;NonConscientious;0;0;0;-1;9;25.871;0.053;2.189;6.612;0.7;7.64
26;Neurotic;1;1;0;-1;6;16.812;0.002;2.059;4.651;1;6.64
27;Extrovert;0;0;0;-1;31;35.529;0.319;2.246;5.248;5.68;31.761
27;Introvert;2;1;0;-1;6;28.744;3;3.964;5.16;0.32;8.88
27;NonConscientious;2;1;0;-1;22;46.111;2.329;2.255;4.522;1.62;20.06
27;Neurotic;2;0;0;-1;11;23.093;1.21;3.015;4.944;3.82;20.1
28;Extrovert;0;0;0;-1;1;20.078;1.524;3.286;9.063;1.32;1.26
28;Introvert;3;0;1;4.439;3;25.388;3;2.743;4.958;0.02;3.66
28;NonConscientious;1;1;0;-1;2;20.327;2.929;2.844;4.791;0.52;1.52
28;Neurotic;2;1;0;-1;0;11.305;0.096;2.637;3.388;0.58;2.3
29;Extrovert;0;0;0;-1;3;21.461;0.014;3.339;5.546;4.26;3.24
29;Introvert;4;2;1;5.581;2;39.069;2.63;3.042;5.952;0.32;2.82
29;NonConscientious;2;0;0;-1;5;28.172;1.316;2.69;7.039;0.72;10.88
29;Neurotic;0;0;0;-1;2;17.706;0.532;3.329;8.409;2.12;7.46
30;Extrovert;1;0;0;-1;9;21.654;0.447;2.267;5.354;4.16;22.08
30;Introvert;2;1;1;10.481;4;50.525;3;2.727;5.854;0.32;10.12
30;NonConscientious;2;0;0;-1;3;31.9;3;2.838;4.923;0.82;9.72
30;Neurotic;1;1;0;-1;8;15.402;2.45;2.555;6.488;1.42;20.94
31;Extrovert;2;1;0;-1;2;17.978;1.152;2.51;3.904;1.32;4.22
31;Introvert;2;0;1;1.96;1;26.747;3;3.071;6.698;0.22;3.1
31;NonConscientious;2;1;0;-1;3;18.777;2.67;2.344;4.265;0.42;2.76
31;Neurotic;0;0;0;-1;0;13.825;0.734;3.28;7.629;1.52;0
32;Extrovert;0;0;0;-1;0;11.298;0.002;3.54;5.722;3.1;0.3
32;Introvert;2;1;1;4.279;0;28.935;3;2.673;5.518;0.42;1.82
32;NonConscientious;2;0;0;-1;0;25.908;0.171;2.846;5.527;0.32;1.52
32;Neurotic;2;1;0;-1;0;9.022;1.267;3.181;3.722;0.92;0.6
33;Extrovert;0;0;0;-1;8;19.23;1.397;2.335;5.912;2.14;6.1
33;Introvert;6;2;1;5.12;2;32.65;3;3.045;3.651;0;2.28
33;NonConscientious;0;0;0;-1;10;21.368;0.543;2.1;6.779;0.7;7.02
33;Neurotic;0;0;0;-1;6;15.346;1.958;2.657;7.87;0.92;7.3
34;Extrovert;1;0;0;-1;1;16.071;0.804;2.788;4.209;1.48;2.08
34;Introvert;5;2;1;0.64;0;28.254;3;4.257;4.701;0.02;0
34;NonConscientious;0;0;0;-1;2;20.333;2.293;2.824;7.321;0.22;3.6
34;Neurotic;0;0;0;-1;1;10.993;1.832;3.695;9.989;1.02;2.44
35;Extrovert;0;0;0;-1;7;13.045;0.449;2.534;4.077;2.22;8.5
35;Introvert;3;1;1;1.76;6;27.385;3;2.873;4.453;0.42;4.36
35;NonConscientious;1;0;0;-1;1;23.48;2.863;3.126;7.024;0.22;2.1
35;Neurotic;2;1;0;-1;6;16.334;0.288;2.488;3.585;0.62;8.24
36;Extrovert;0;0;0;-1;8;25.671;0.264;2.378;4.695;6.72;17.7
36;Introvert;1;1;0;-1;4;78.299;3;3.025;7.488;0.7;9.48
36;NonConscientious;5;1;0;-1;2;42.878;1.458;2.689;4.638;0.8;7.44
36;Neurotic;0;0;0;-1;4;28.577;1.245;2.923;5.253;1.5;10.14
37;Extrovert;0;0;0;-1;3;17.805;0.917;2.001;6.217;2.12;7.08
37;Introvert;1;0;1;2.421;9;28.359;3;2.027;6.49;0.22;8.48
37;NonConscientious;5;2;0;-1;6;23.845;0.419;2.437;4.675;0.32;5.28
37;Neurotic;0;0;0;-1;0;11.656;1.017;3.096;4.674;1.12;0.44
38;Extrovert;0;0;0;-1;5;30.901;1.299;3.457;4.161;3.1;10.54
38;Introvert;3;1;1;5.059;6;33.264;3;3.046;9.642;0.42;8.38
38;NonConscientious;3;1;0;-1;4;29.914;1.662;2.872;5.623;1.02;11.02
38;Neurotic;0;0;0;-1;3;16.116;0.571;3.756;10.374;1.82;6.44
39;Extrovert;0;0;0;-1;3;20.002;0.697;2.631;4.576;3.22;6.14
39;Introvert;5;2;1;6.941;4;38.74;3;2.636;5.662;0;7.96
39;NonConscientious;1;0;0;-1;2;13.879;3;2.381;5.083;0;8.38
39;Neurotic;0;0;0;-1;1;15.802;0.427;3.541;9.201;1.1;1.88
40;Extrovert;0;0;0;-1;3;21.522;1.555;3.615;7.919;1.34;3.24
40;Introvert;1;0;1;1.019;1;29.757;3;3.162;6.583;0.12;1.28
40;NonConscientious;4;2;0;-1;1;19.431;0.467;3.538;3.016;0.34;1.54
40;Neurotic;1;0;0;-1;3;13.717;0.971;3.971;6.448;0.94;3.5
41;Extrovert;0;0;0;-1;9;27.993;0.422;3.08;8.615;5.1;11.08
41;Introvert;6;2;1;16.342;3;55.096;3;3.339;5.641;0.32;5.72
41;NonConscientious;0;0;0;-1;9;33.235;1.077;2.89;6.81;1.12;14.1
41;Neurotic;0;0;0;-1;1;19.406;0.748;3.863;9.55;2.12;4.72
42;Extrovert;0;0;0;-1;8;24.531;0.008;3.009;9.908;3.52;18.3
42;Introvert;4;2;1;4.38;4;48.073;3;3.393;6.795;0.22;7.62
42;NonConscientious;2;0;0;-1;4;21.95;0.598;3.812;4.321;1.32;6.96
42;Neurotic;0;0;0;-1;6;15.168;0.1;3.498;10.033;3.02;11.6
43;Extrovert;1;1;0;-1;21;42.133;1.089;1.947;4.934;5.52;25.64
43;Introvert;1;0;1;1.56;3;42.159;3;2.046;5.422;0.32;10.46
43;NonConscientious;3;1;0;-1;20;45.363;1.879;2.223;3.865;1.22;21.44
43;Neurotic;1;0;0;-1;10;27.614;0.931;2.611;5.567;3.22;12.78
44;Extrovert;0;0;0;-1;2;19.07;0.41;3.458;11.848;2.58;2.78
44;Introvert;6;2;1;2.379;0;26.097;3;4.649;6.254;0.32;1.12
44;NonConscientious;0;0;0;-1;2;19.183;3;4.054;14.428;0.82;2.78
44;Neurotic;0;0;0;-1;0;8.22;1.556;4.293;9.286;0.52;1.12
45;Extrovert;0;0;0;-1;0;18.104;1.108;3.199;7.62;0.84;0.3
45;Introvert;4;1;0;-1;1;19.854;3;3.218;2.932;0.4;1.14
45;NonConscientious;0;0;0;-1;2;20.272;2.686;2.57;4.85;0.5;2.7
45;Neurotic;1;0;0;-1;1;12.519;0.597;2.499;4.598;0.9;1.38
46;Extrovert;1;0;0;-1;1;11.138;0.853;2.518;4.181;1.28;2.62
46;Introvert;2;0;1;2.759;0;19.979;3;2.899;4.503;0.1;0.74
46;NonConscientious;1;1;0;-1;1;15.701;0.346;2.919;4.891;0.42;2.88
46;Neurotic;2;1;0;-1;0;12.808;0.26;2.767;6.341;0.22;0.48
47;Extrovert;2;1;0;-1;11;22.369;0.408;1.886;7.599;2;19.54
47;Introvert;1;0;1;8.019;13;34.732;2.644;2.208;9.409;0.12;12.76
47;NonConscientious;3;1;0;-1;11;29.293;1.154;2.391;5.446;0.72;13.44
47;Neurotic;0;0;0;-1;7;18.404;2.292;2.354;8.698;1.82;10.64
48;Extrovert;1;0;0;-1;8;22.193;1.448;1.974;4.428;1.32;11.4
48;Introvert;1;1;1;4.319;3;37.92;3;2.687;6.475;0.22;5.12
48;NonConscientious;3;1;0;-1;7;24.33;3;2.379;3.64;0.42;6.02
48;Neurotic;1;0;0;-1;6;15.645;2.816;2.638;3.268;0.98;4.18
49;Extrovert;1;0;0;-1;1;20.71;1.724;3.816;6.242;2.2;2.14
49;Introvert;2;0;1;1.821;2;28.877;2.853;3.455;7.161;0.32;2.12
49;NonConscientious;2;1;0;-1;2;23.415;1.245;3.586;5.787;0.42;3.02
49;Neurotic;1;1;0;-1;1;9.797;1.888;4.184;9.13;1.32;1.24
50;Extrovert;0;0;0;-1;7;16.414;0.588;2.842;6.464;1.28;5.94
50;Introvert;1;0;0;-1;10;20.637;0.686;2.886;8.22;0.7;8.48
50;NonConscientious;2;1;0;-1;7;22.831;1.839;2.629;8.467;0.6;5.9
50;Neurotic;0;0;0;-1;0;15.443;1.322;5.358;12.226;0.6;0
51;Extrovert;0;0;0;-1;6;21.339;1.822;2.793;5.297;3.7;8.04
51;Introvert;4;2;1;6.621;3;45.386;3;3.056;7.175;0.32;5.52
51;NonConscientious;2;0;0;-1;8;24.08;0.13;2.893;5.402;1.12;7.42
51;Neurotic;0;0;0;-1;5;14.617;1.687;2.939;4.669;1.52;5.44
52;Extrovert;2;1;0;-1;8;14.514;0.675;2.917;4.947;1.08;8.08
52;Introvert;4;1;1;2.48;1;26.871;2.582;3.722;5.546;0.12;1.86
52;NonConscientious;0;0;0;-1;6;16.087;1.719;2.889;5.077;0.12;5.66
52;Neurotic;0;0;0;-1;5;16.721;2.178;4.701;9.971;0.52;3.58
53;Extrovert;0;0;0;-1;2;17.818;0.001;3.418;6.762;2.48;4.72
53;Introvert;5;2;1;2.98;4;30.487;3;2.984;4.223;0.02;2.12
53;NonConscientious;1;0;0;-1;4;15.842;0.447;3.52;6.002;0.52;4.38
53;Neurotic;0;0;0;-1;0;13.063;0.945;3.606;4.502;0.72;0
