episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
48;Intro_Iso;4;1;0;-1.000;2;14.409;1.956;3.025;4.574;0.260;3.040
49;Intro_Leader;2;1;0;-1.000;2;33.297;1.688;3.953;6.766;0.800;2.120
49;Intro_Balanced1;2;1;1;2.279;4;28.386;1.971;3.554;8.899;0.300;5.980
49;Intro_Balanced2;0;0;0;-1.000;2;18.707;0.945;3.972;10.359;1.300;4.860
49;Intro_Iso;2;0;0;-1.000;0;19.941;3.000;4.134;7.051;0.700;0.000
50;Intro_Leader;1;1;0;-1.000;1;37.924;0.177;3.848;8.522;0.500;1.900
50;Intro_Balanced1;1;0;0;-1.000;0;19.318;1.706;4.465;4.650;0.720;1.920
50;Intro_Balanced2;4;1;0;-1.000;1;24.974;0.302;3.915;5.159;0.740;2.460
50;Intro_Iso;0;0;1;0.881;0;27.429;2.416;4.503;10.911;0.320;0.020
51;Intro_Leader;4;2;0;-1.000;2;54.871;2.599;3.462;6.697;1.700;3.720
51;Intro_Balanced1;0;0;0;-1.000;3;28.404;1.335;3.331;8.228;1.200;5.540
51;Intro_Balanced2;1;0;1;3.161;5;42.483;3.000;3.267;8.425;0.400;7.000
51;Intro_Iso;1;0;0;-1.000;4;31.312;1.660;3.772;4.952;1.000;5.180
52;Intro_Leader;1;0;1;1.218;1;35.735;2.599;3.032;3.977;0.960;1.400
52;Intro_Balanced1;2;0;0;-1.000;3;23.496;2.121;2.667;4.922;0.820;6.240
52;Intro_Balanced2;2;1;0;-1.000;8;23.056;2.347;2.597;3.391;1.180;6.780
52;Intro_Iso;1;1;0;-1.000;4;24.004;0.687;3.064;7.787;1.120;5.020
53;Intro_Leader;3;2;0;-1.000;5;32.250;2.387;3.020;6.129;0.800;5.820
53;Intro_Balanced1;1;0;0;-1.000;1;16.297;1.010;3.878;6.001;1.420;1.720
53;Intro_Balanced2;1;0;0;-1.000;4;17.606;2.014;4.035;7.244;0.820;4.920
53;Intro_Iso;1;0;1;1.639;0;24.815;2.275;4.618;9.758;0.880;1.120
54;Intro_Leader;0;0;1;3.458;0;34.290;2.599;3.563;9.673;0.100;0.840
54;Intro_Balanced1;0;0;0;-1.000;0;14.946;1.785;4.128;11.589;0.360;0.000
54;Intro_Balanced2;5;1;0;-1.000;0;19.284;0.135;4.269;3.714;0.920;0.000
54;Intro_Iso;1;1;0;-1.000;0;16.988;0.259;3.346;8.712;1.020;0.840
55;Intro_Leader;4;1;0;-1.000;4;33.875;2.599;3.552;3.681;0.700;2.580
55;Intro_Balanced1;0;0;1;1.780;0;32.123;2.899;3.904;5.593;0.320;0.000
55;Intro_Balanced2;2;1;0;-1.000;4;18.908;1.263;4.132;5.293;0.620;2.580
55;Intro_Iso;0;0;0;-1.000;0;20.418;1.442;4.843;10.776;0.620;0.000
56;Intro_Leader;2;0;0;-1.000;1;34.738;2.398;3.400;5.279;0.480;2.740
56;Intro_Balanced1;1;1;0;-1.000;4;18.127;2.391;2.925;6.522;0.700;5.960
56;Intro_Balanced2;0;0;0;-1.000;3;13.609;0.344;3.609;7.751;0.900;4.260
56;Intro_Iso;3;1;1;2.201;0;27.551;3.000;4.183;8.122;0.400;0.000
57;Intro_Leader;0;0;0;-1.000;1;21.653;1.445;3.492;7.360;0.220;0.980
57;Intro_Balanced1;1;1;0;-1.000;1;17.497;0.041;3.041;5.891;0.160;1.440
57;Intro_Balanced2;0;0;1;1.701;1;11.718;2.164;4.053;4.447;0.440;0.700
57;Intro_Iso;5;1;0;-1.000;1;10.383;0.342;2.917;1.713;0.520;1.160
58;Intro_Leader;0;0;0;-1.000;9;48.758;2.599;3.340;8.212;1.180;10.420
58;Intro_Balanced1;0;0;0;-1.000;1;17.722;0.045;4.016;12.030;2.180;3.000
58;Intro_Balanced2;6;2;0;-1.000;0;34.688;0.616;3.698;5.192;1.620;1.320
58;Intro_Iso;0;0;1;4.341;8;39.023;3.000;3.901;6.978;0.820;8.760
59;Intro_Leader;5;1;1;3.860;0;19.024;2.599;4.225;3.133;0.200;0.700
59;Intro_Balanced1;0;0;0;-1.000;0;12.471;0.346;5.004;13.056;0.520;0.000
59;Intro_Balanced2;0;0;0;-1.000;0;16.184;2.472;3.501;8.013;0.220;0.180
59;Intro_Iso;1;1;0;-1.000;0;18.410;1.741;3.349;7.241;0.220;0.880
60;Intro_Leader;2;1;1;0.979;3;27.527;2.599;3.356;9.170;0.400;3.620
60;Intro_Balanced1;0;0;0;-1.000;0;14.601;1.549;3.358;8.771;0.520;0.340
60;Intro_Balanced2;0;0;0;-1.000;0;16.058;0.375;3.649;7.843;0.520;0.000
60;Intro_Iso;4;1;0;-1.000;3;16.243;0.343;3.292;3.216;0.420;3.280
61;Intro_Leader;3;1;0;-1.000;0;25.531;2.599;4.422;6.346;0.580;0.000
61;Intro_Balanced1;1;1;0;-1.000;2;11.721;0.439;3.067;6.130;0.320;2.400
61;Intro_Balanced2;2;0;0;-1.000;2;12.777;1.328;3.275;5.784;0.220;2.080
61;Intro_Iso;0;0;1;0.279;2;16.599;3.000;4.297;8.298;0.120;0.800
62;Intro_Leader;4;1;0;-1.000;0;17.267;0.002;3.890;4.919;0.780;0.000
62;Intro_Balanced1;0;0;0;-1.000;3;16.666;3.000;3.976;8.914;0.420;2.780
62;Intro_Balanced2;1;0;0;-1.000;0;13.919;1.147;4.840;6.698;0.120;0.000
62;Intro_Iso;0;0;0;-1.000;3;16.508;3.000;4.016;8.542;0.720;2.780
63;Intro_Leader;5;2;0;-1.000;8;41.634;2.599;3.180;5.718;0.820;10.040
63;Intro_Balanced1;1;0;0;-1.000;5;28.751;0.736;2.854;7.530;0.920;11.940
63;Intro_Balanced2;0;0;1;3.721;9;36.402;1.697;3.058;8.553;0.920;11.520
