episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
29;Conscientious;0;0;0;-1.000;0;14.642;0.273;3.755;9.218;0.720;0.000
29;NonConscientious;4;1;0;-1.000;1;22.711;0.147;3.773;6.486;0.320;1.440
29;Agreeable;1;0;0;-1.000;1;15.434;1.342;3.360;7.821;0.720;2.640
30;Introvert;0;0;0;-1.000;4;24.193;1.108;4.757;11.893;3.180;2.960
30;Conscientious;0;0;1;8.421;4;36.037;1.347;3.565;8.844;1.220;4.880
30;NonConscientious;0;0;0;-1.000;3;17.997;0.422;3.788;5.216;0.820;8.220
30;Agreeable;6;2;0;-1.000;3;13.501;1.529;3.193;2.531;0.240;9.100
31;Introvert;1;0;0;-1.000;4;18.642;0.000;2.959;6.815;3.740;3.820
31;Conscientious;0;0;1;3.180;4;23.938;2.923;2.919;8.212;1.420;5.120
31;NonConscientious;0;0;0;-1.000;4;22.650;0.562;3.036;8.343;1.320;5.120
31;Agreeable;5;2;0;-1.000;4;22.591;0.854;3.594;3.327;1.320;3.820
32;Introvert;3;1;0;-1.000;0;21.209;0.003;3.477;4.090;2.340;1.520
32;Conscientious;1;1;1;5.922;1;26.379;3.000;2.991;6.714;0.400;2.580
32;NonConscientious;2;0;0;-1.000;0;17.375;0.584;3.325;3.229;1.200;2.120
32;Agreeable;0;0;0;-1.000;1;16.524;0.630;3.614;10.006;0.900;1.900
33;Introvert;0;0;0;-1.000;0;9.586;1.112;3.987;6.981;0.700;0.000
33;Conscientious;1;0;1;1.021;2;13.765;1.549;3.702;3.474;0.160;1.140
33;NonConscientious;2;1;0;-1.000;0;10.211;0.943;3.018;5.889;0.320;0.020
33;Agreeable;3;1;0;-1.000;2;12.459;0.776;2.921;3.382;0.220;1.160
34;Introvert;2;0;0;-1.000;7;20.813;0.997;2.567;5.835;2.940;9.780
34;Conscientious;2;1;1;1.279;7;27.957;1.539;2.736;5.684;0.320;11.920
34;NonConscientious;0;0;0;-1.000;2;24.304;1.096;3.090;6.458;0.820;4.340
34;Agreeable;2;1;0;-1.000;8;27.774;1.237;2.384;6.263;0.620;11.960
35;Introvert;2;1;1;2.480;3;25.072;0.384;2.849;4.964;0.620;7.560
35;Conscientious;0;0;0;-1.000;3;19.879;0.422;2.895;6.044;0.620;4.420
35;NonConscientious;0;0;0;-1.000;3;26.912;0.301;3.040;5.443;0.720;5.140
35;Agreeable;4;1;0;-1.000;3;23.909;1.970;2.800;2.709;0.620;6.340
36;Introvert;3;1;0;-1.000;3;26.257;0.983;3.244;5.629;2.180;3.760
36;Conscientious;0;0;1;0.939;0;21.758;2.594;2.708;5.241;0.420;1.080
36;NonConscientious;0;0;0;-1.000;6;15.528;1.023;2.787;7.015;0.920;5.680
36;Agreeable;3;1;0;-1.000;7;20.523;0.795;2.220;5.998;0.320;8.300
37;Introvert;0;0;0;-1.000;0;31.103;0.001;4.251;8.055;3.500;1.880
37;Conscientious;2;0;0;-1.000;4;33.239;1.731;3.980;7.852;0.900;3.160
37;NonConscientious;1;1;1;3.078;4;39.310;2.039;4.089;7.157;0.500;5.000
37;Agreeable;3;1;0;-1.000;4;35.091;1.294;3.501;6.003;0.500;4.040
38;Introvert;0;0;1;0.500;4;22.981;2.109;2.567;9.666;1.260;6.400
38;Conscientious;0;0;0;-1.000;6;16.765;0.808;2.491;9.935;0.620;6.600
38;NonConscientious;0;0;0;-1.000;1;18.956;0.152;2.807;9.627;0.520;4.580
38;Agreeable;6;2;0;-1.000;3;19.768;2.063;3.860;2.854;0.620;1.340
39;Introvert;2;0;0;-1.000;6;34.254;0.001;4.326;4.639;6.020;8.740
39;Conscientious;0;0;0;-1.000;2;27.519;0.452;4.246;8.372;2.700;12.780
39;NonConscientious;4;2;0;-1.000;6;40.381;2.921;4.009;3.042;1.500;8.860
39;Agreeable;0;0;1;3.141;2;29.469;3.000;4.923;12.552;1.200;11.460
40;Introvert;1;0;1;1.740;5;25.206;2.599;2.655;4.472;0.840;7.580
40;Conscientious;0;0;0;-1.000;0;24.605;3.000;3.130;6.420;0.620;1.360
40;NonConscientious;0;0;0;-1.000;0;19.505;2.536;4.028;5.273;1.120;0.380
40;Agreeable;5;2;0;-1.000;5;18.944;3.000;2.915;3.058;0.780;7.380
41;Introvert;3;1;1;0.861;3;17.653;2.599;3.287;4.602;1.000;4.160
41;Conscientious;0;0;0;-1.000;0;9.924;1.246;3.007;5.621;0.700;0.280
41;NonConscientious;3;1;0;-1.000;3;17.136;0.388;3.045;4.133;0.100;4.440
41;Agreeable;0;0;0;-1.000;0;14.637;0.331;4.562;11.815;0.500;0.000
42;Introvert;1;0;0;-1.000;1;14.273;0.094;3.161;2.919;6.720;3.940
42;Conscientious;1;0;0;-1.000;8;28.374;1.528;2.826;5.826;1.120;9.840
42;NonConscientious;2;0;1;5.240;3;39.149;2.747;3.335;5.983;0.220;6.680
42;Agreeable;2;2;0;-1.000;8;28.584;0.249;2.852;5.198;1.220;8.740
43;Introvert;1;0;0;-1.000;1;16.224;0.351;3.505;9.198;1.320;3.240
43;Conscientious;0;0;1;0.520;0;14.924;2.947;3.219;8.064;0.300;0.000
43;NonConscientious;2;1;0;-1.000;1;13.311;0.401;3.401;6.511;0.900;3.500
43;Agreeable;3;1;0;-1.000;0;13.063;0.835;4.023;4.131;0.500;0.260
44;Introvert;0;0;0;-1.000;1;20.520;2.198;4.382;9.821;5.660;1.820
44;Conscientious;0;0;1;14.896;0;29.074;2.667;3.842;4.346;1.220;0.600
44;NonConscientious;3;0;0;-1.000;1;30.053;1.701;3.425;5.983;0.920;2.980
