episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents;
33;NonConscientious;6;2;0;-1.000;0;25.526;0.155;2.780;4.535;0.420;2.940
33;Neurotic;0;0;0;-1.000;4;17.269;1.206;2.167;4.669;0.520;9.180
34;Extrovert;0;0;0;-1.000;2;17.961;0.427;3.159;8.725;2.380;3.200
34;Introvert;6;2;1;2.975;4;32.409;2.317;3.397;4.669;0.220;4.200
34;NonConscientious;0;0;0;-1.000;6;23.366;2.223;2.800;7.542;0.320;7.340
34;Neurotic;0;0;0;-1.000;0;17.750;1.861;3.867;10.077;0.720;0.000
35;Extrovert;0;0;0;-1.000;7;11.951;0.531;2.261;2.769;2.540;13.740
35;Introvert;0;0;1;3.169;2;31.555;3.000;3.789;8.273;0.200;2.240
35;NonConscientious;3;1;0;-1.000;6;22.405;3.000;2.364;4.054;0.800;7.440
35;Neurotic;3;1;0;-1.000;7;13.227;1.361;2.426;2.753;1.000;13.840
36;Extrovert;3;1;0;-1.000;2;13.189;0.807;2.912;3.062;1.440;3.560
36;Introvert;1;1;1;2.199;2;18.640;2.969;2.957;7.154;0.300;2.640
36;NonConscientious;2;0;0;-1.000;3;14.264;0.503;3.133;5.850;0.020;3.320
36;Neurotic;0;0;0;-1.000;1;9.784;1.408;3.756;8.832;0.520;1.660
37;Extrovert;1;0;0;-1.000;7;18.706;0.168;2.127;6.111;2.340;6.140
37;Introvert;2;1;1;2.873;7;29.914;3.000;2.238;6.421;0.000;7.120
37;NonConscientious;3;1;0;-1.000;0;22.645;2.772;3.520;3.909;0.800;0.000
37;Neurotic;0;0;0;-1.000;4;14.951;0.044;3.145;9.980;0.980;3.380
38;Extrovert;0;0;0;-1.000;13;21.968;0.718;2.426;8.666;3.780;14.200
38;Introvert;6;2;1;7.987;8;44.919;1.221;2.787;4.871;0.120;9.160
38;NonConscientious;0;0;0;-1.000;14;26.534;0.216;2.364;7.959;0.820;14.200
38;Neurotic;0;0;0;-1.000;17;19.443;1.138;2.258;5.024;0.520;16.420
39;Extrovert;0;0;0;-1.000;4;19.079;0.500;2.556;8.249;3.000;5.760
39;Introvert;6;2;1;9.041;2;30.847;3.000;2.698;3.901;0.400;3.800
39;NonConscientious;0;0;0;-1.000;2;26.486;0.356;2.764;6.058;0.200;4.500
39;Neurotic;0;0;0;-1.000;0;16.821;0.611;2.910;6.744;0.600;1.120
40;Extrovert;0;0;0;-1.000;1;15.813;0.017;4.213;12.651;1.620;1.820
40;Introvert;0;0;1;0.971;1;20.624;3.000;3.233;8.198;0.280;2.020
40;NonConscientious;1;1;0;-1.000;1;9.798;2.119;3.176;2.531;0.420;2.500
40;Neurotic;5;1;0;-1.000;1;8.547;1.261;3.388;2.885;0.240;2.300
41;Extrovert;0;0;0;-1.000;17;22.110;0.076;2.862;8.802;2.820;8.600
41;Introvert;3;1;1;9.795;1;42.877;3.000;2.882;6.656;0.720;2.380
41;NonConscientious;2;1;0;-1.000;16;19.160;0.858;2.107;4.286;0.520;14.580
41;Neurotic;1;0;0;-1.000;18;13.327;0.994;2.294;4.261;0.520;13.760
42;Extrovert;4;1;0;-1.000;7;27.521;1.543;2.163;4.830;3.200;12.400
42;Introvert;2;1;1;9.254;2;43.503;3.000;2.933;4.741;0.220;3.640
42;NonConscientious;0;0;0;-1.000;9;23.780;0.871;2.316;8.180;1.220;11.100
42;Neurotic;0;0;0;-1.000;8;20.780;1.443;2.351;7.130;0.520;6.280
43;Extrovert;0;0;0;-1.000;1;12.110;0.478;2.880;7.449;1.140;4.900
43;Introvert;3;1;1;3.242;1;25.373;2.965;3.221;6.508;0.220;1.800
43;NonConscientious;3;1;0;-1.000;1;22.213;0.280;3.849;4.311;0.320;1.120
43;Neurotic;0;0;0;-1.000;1;11.824;1.043;2.862;8.227;0.720;4.900
44;Extrovert;0;0;0;-1.000;0;16.927;0.452;3.298;9.172;1.400;2.860
44;Introvert;6;2;1;2.035;0;21.921;2.972;4.107;7.138;0.320;0.000
44;NonConscientious;0;0;0;-1.000;0;20.131;0.347;4.019;12.815;0.120;2.860
44;Neurotic;0;0;0;-1.000;0;14.646;0.138;3.998;5.094;0.620;0.000
45;Extrovert;1;0;0;-1.000;5;23.556;0.002;3.413;5.849;3.340;7.680
45;Introvert;4;2;1;3.492;2;38.055;3.000;2.894;6.002;0.320;4.820
45;NonConscientious;1;0;0;-1.000;2;23.245;2.010;3.031;7.278;1.000;5.380
45;Neurotic;0;0;0;-1.000;5;16.149;0.197;2.820;8.480;0.800;8.240
46;Extrovert;0;0;0;-1.000;1;17.671;0.538;3.327;9.365;1.220;3.480
46;Introvert;3;1;1;2.000;1;22.313;2.489;4.115;6.634;0.000;0.580
46;NonConscientious;0;0;0;-1.000;1;17.896;1.116;3.238;4.216;0.220;1.440
46;Neurotic;3;1;0;-1.000;1;16.262;1.516;2.707;5.413;0.300;4.340
47;Extrovert;0;0;0;-1.000;1;13.815;2.581;2.291;5.867;0.560;2.920
47;Introvert;0;0;1;4.093;2;16.868;2.847;2.139;5.127;0.120;3.560
47;NonConscientious;1;1;0;-1.000;2;14.924;3.000;1.830;4.609;0.520;5.480
47;Neurotic;5;1;0;-1.000;1;6.206;1.705;2.536;2.144;0.760;3.960
48;Extrovert;0;0;0;-1.000;8;22.241;1.326;3.082;8.195;2.440;6.240
48;Introvert;6;2;1;7.620;3;36.348;3.000;3.410;5.223;0.220;2.900
48;NonConscientious;0;0;0;-1.000;7;21.840;0.640;2.701;7.326;0.520;5.800
48;Neurotic;0;0;0;-1.000;4;10.643;0.684;3.009;8.506;1.920;4.540
49;Extrovert;0;0;0;-1.000;17;22.525;1.069;1.759;3.121;2.940;17.880
49;Introvert;3;1;1;6.591;7;44.366;2.700;2.750;5.488;0.020;9.340
49;NonConscientious;3;1;0;-1.000;13;30.686;0.157;2.261;4.703;0.820;12.020
49;Neurotic;0;0;0;-1.000;9;23.920;1.228;2.340;5.988;1.120;9.680
50;Extrovert;0;0;0;-1.000;8;23.047;1.186;2.771;7.784;1.480;6.140
50;Introvert;1;0;1;1.004;5;26.074;2.921;2.678;6.076;0.020;2.760
50;NonConscientious;5;2;0;-1.000;0;20.516;1.507;2.864;3.503;0.120;0.700
50;Neurotic;0;0;0;-1.000;7;14.871;0.245;2.458;6.051;0.520;6.140
51;Extrovert;1;0;0;-1.000;7;18.905;1.407;2.607;6.678;1.280;6.520
51;Introvert;1;0;1;2.186;3;30.214;3.000;3.335;7.161;0.220;1.360
51;NonConscientious;4;2;0;-1.000;10;12.068;0.416;2.675;4.266;0.420;7.880
51;Neurotic;0;0;0;-1.000;0;12.053;1.828;3.247;5.675;0.580;0.000
52;Extrovert;0;0;0;-1.000;6;20.800;0.706;2.806;6.208;2.100;6.560
52;Introvert;3;1;1;4.397;2;37.883;3.000;3.065;6.141;0.020;3.260
52;NonConscientious;3;1;0;-1.000;6;22.857;0.016;2.569;6.826;0.340;4.620
52;Neurotic;0;0;0;-1.000;4;14.911;0.605;3.324;10.957;0.620;3.960
53;Extrovert;0;0;0;-1.000;1;14.947;0.092;4.953;7.416;1.500;1.060
53;Introvert;2;0;1;2.636;2;19.846;0.003;3.677;5.674;0.040;3.100
53;NonConscientious;4;2;0;-1.000;1;16.755;1.439;3.548;5.416;0.320;2.040
53;Neurotic;0;0;0;-1.000;0;16.284;0.570;5.056;6.448;0.520;0.000
54;Extrovert;0;0;0;-1.000;7;26.427;0.736;2.416;4.739;3.680;10.840
54;Introvert;3;1;1;9.944;8;48.299;3.000;2.741;7.384;0.420;9.500
54;NonConscientious;3;1;0;-1.000;7;31.853;0.568;2.371;3.999;0.840;10.040
54;Neurotic;0;0;0;-1.000;6;20.223;1.159;2.343;6.693;1.920;10.060
55;Extrovert;0;0;0;-1.000;12;21.379;0.682;2.217;9.836;2.800;10.920
55;Introvert;6;2;1;5.709;6;39.256;3.000;2.427;7.144;0.220;4.820
55;NonConscientious;0;0;0;-1.000;11;28.249;0.067;1.988;9.513;0.680;10.980
55;Neurotic;0;0;0;-1.000;7;25.667;0.929;2.081;9.620;0.760;8.140
56;Extrovert;0;0;0;-1.000;4;22.786;0.367;2.377;4.973;2.140;7.640
56;Introvert;2;0;1;1.723;11;30.204;3.000;2.602;4.673;0.120;8.200
56;NonConscientious;4;2;0;-1.000;10;25.022;1.847;2.473;4.107;0.420;8.200
56;Neurotic;0;0;0;-1.000;1;14.782;0.011;2.942;6.478;1.040;4.280
57;Extrovert;1;1;0;-1.000;5;11.725;1.084;1.939;3.324;2.080;5.680
57;Introvert;1;0;1;3.913;3;26.635;2.481;2.882;6.239;0.120;2.760
57;NonConscientious;4;1;0;-1.000;2;14.822;3.000;2.401;4.365;0.320;3.880
57;Neurotic;0;0;0;-1.000;0;11.759;2.130;2.761;5.339;0.520;2.140
58;Extrovert;0;0;0;-1.000;1;12.866;1.922;3.070;8.770;1.320;2.620
58;Introvert;6;2;1;3.065;0;21.223;2.146;5.437;2.934;0.220;0.000
58;NonConscientious;0;0;0;-1.000;1;10.505;1.850;3.185;10.003;0.320;2.620
58;Neurotic;0;0;0;-1.000;0;10.191;2.562;4.314;11.983;0.720;0.000
59;Extrovert;1;1;0;-1.000;1;21.081;0.457;2.965;4.496;3.100;3.220
59;Introvert;0;0;1;7.334;2;29.095;3.000;3.540;7.778;0.220;2.380
59;NonConscientious;2;0;0;-1.000;1;24.735;1.014;3.303;5.247;0.500;3.080
59;Neurotic;3;1;0;-1.000;2;19.687;1.312;3.313;5.157;0.520;3.680
60;Extrovert;0;0;0;-1.000;8;16.638;1.430;1.373;3.154;1.680;10.280
60;Introvert;5;1;1;5.606;6;26.448;3.000;2.067;3.111;0.020;4.200
60;NonConscientious;1;1;0;-1.000;6;19.482;2.128;2.052;3.305;0.520;4.040
60;Neurotic;0;0;0;-1.000;10;14.934;0.829;1.469;2.896;0.820;10.280
61;Extrovert;0;0;0;-1.000;3;19.512;0.002;2.953;8.592;2.360;4.100
61;Introvert;6;2;1;8.798;1;41.144;2.808;3.583;3.260;0.420;2.380
61;NonConscientious;0;0;0;-1.000;4;24.335;0.552;3.188;9.513;0.920;5.920
61;Neurotic;0;0;0;-1.000;0;17.777;0.580;3.723;9.814;1.520;0.560
