episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape;
359;1;null;7.200;4.260;1.440;1.500
360;1;null;19.880;5.960;10.180;3.740
361;1;null;12.260;6.540;3.060;2.660
362;1;null;9.760;6.180;0.800;2.780
363;1;null;8.420;4.260;1.220;2.940
364;1;null;11.160;4.980;4.800;1.380
365;1;null;15.260;6.680;1.060;7.520
366;1;null;14.920;7.820;3.460;3.640
367;0;DragonEscaped;10.280;10.280;0.000;0.000
368;1;null;9.480;3.860;5.000;0.620
369;1;null;10.980;3.760;5.200;2.020
370;1;null;12.780;4.080;3.580;5.120
371;1;null;15.020;8.020;6.460;0.540
372;1;null;11.580;4.800;0.660;6.120
373;1;null;6.600;4.160;1.380;1.060
374;1;null;21.120;4.040;12.300;4.780
375;1;null;33.381;7.700;18.740;6.940
376;1;null;10.420;4.980;3.400;2.040
377;1;null;14.940;3.360;8.780;2.800
378;1;null;15.580;6.700;7.520;1.360
379;1;null;19.220;6.240;7.400;5.580
380;1;null;15.900;3.520;6.940;5.440
381;1;null;10.940;4.280;2.000;4.660
382;1;null;8.620;1.580;5.420;1.620
383;1;null;4.360;2.280;1.040;1.040
384;1;null;16.000;7.080;3.640;5.280
385;1;null;10.640;4.520;2.060;4.060
386;1;null;12.980;6.460;2.960;3.560
387;0;DragonEscaped;9.000;9.000;0.000;0.000
388;1;null;8.800;1.480;6.100;1.220
389;1;null;6.520;2.900;2.400;1.220
390;1;null;15.620;7.140;3.400;5.080
391;1;null;8.500;3.940;2.960;1.600
392;1;null;15.160;6.920;3.400;4.840
393;1;null;18.540;8.740;6.200;3.600
394;1;null;11.080;4.040;1.040;6.000
395;1;null;11.740;7.040;1.420;3.280
396;1;null;14.280;6.860;3.020;4.400
397;1;null;16.520;10.720;1.980;3.820
398;1;null;11.500;5.520;1.580;4.400
399;1;null;14.320;5.700;1.820;6.800
400;1;null;19.040;6.780;7.620;4.640
401;1;null;17.000;7.460;4.560;4.980
402;1;null;10.580;3.340;2.120;5.120
403;1;null;14.460;6.140;4.400;3.920
404;0;DragonEscaped;10.380;10.380;0.000;0.000
405;1;null;11.860;3.640;3.580;4.640
406;1;null;22.440;10.880;8.300;3.260
407;1;null;26.040;5.720;15.220;5.100
408;1;null;16.120;3.560;1.700;10.860
409;1;null;13.340;3.380;5.300;4.660
410;1;null;13.780;5.160;5.520;3.100
411;1;null;6.840;3.440;0.460;2.940
412;1;null;15.240;2.640;8.220;4.380
413;1;null;15.140;5.000;6.000;4.140
414;1;null;23.120;4.780;13.700;4.640
415;1;null;12.160;5.900;2.360;3.900
416;1;null;15.360;5.400;4.260;5.700
417;1;null;12.400;5.520;3.040;3.840
418;1;null;11.120;5.320;3.340;2.460
419;1;null;14.140;3.380;4.300;6.460
420;1;null;13.600;5.280;6.680;1.640
421;1;null;10.560;5.540;3.760;1.260
422;1;null;11.520;6.540;1.300;3.680
423;1;null;9.620;2.880;1.580;5.160
424;0;DragonEscaped;11.760;11.760;0.000;0.000
425;1;null;8.880;4.260;1.760;2.860
426;1;null;13.380;2.900;7.120;3.360
427;0;Timer;38.101;8.080;29.180;0.840
428;1;null;8.020;4.320;1.760;1.940
429;1;null;14.040;4.980;4.080;4.980
430;1;null;17.300;5.160;8.100;4.040
431;1;null;11.160;7.660;0.740;2.760
432;1;null;26.180;4.200;4.640;17.340
433;1;null;10.140;6.120;0.580;3.440
434;1;null;8.020;4.400;3.260;0.360
435;1;null;8.520;1.400;5.040;2.080
436;1;null;20.080;6.140;10.500;3.440
437;1;null;8.600;6.220;1.600;0.780
438;1;null;9.060;4.460;3.660;0.940
439;1;null;17.380;6.520;5.760;5.100
440;1;null;11.140;6.780;1.840;2.520
441;1;null;10.440;4.540;1.440;4.460
442;1;null;15.220;6.640;3.980;4.600
443;1;null;7.500;2.720;1.040;3.740
444;1;null;8.460;2.680;2.000;3.780
445;1;null;35.001;5.060;26.280;3.660
446;1;null;11.660;5.880;2.240;3.540
447;1;null;6.040;4.040;0.680;1.320
448;1;null;10.840;4.460;3.380;3.000
449;1;null;7.820;3.580;1.860;2.380
450;1;null;13.820;6.600;3.020;4.200
451;1;null;14.060;5.520;6.960;1.580
452;1;null;12.100;6.300;3.280;2.520
453;1;null;12.080;1.720;8.060;2.300
454;1;null;9.720;3.460;2.940;3.320
455;1;null;23.520;5.380;4.020;14.120
456;1;null;12.660;4.920;2.960;4.780
457;1;null;10.000;4.200;0.960;4.840
458;1;null;9.400;3.880;3.900;1.620
459;1;null;10.300;5.460;1.980;2.860
460;1;null;14.640;3.720;3.060;7.860
461;1;null;6.440;2.080;2.520;1.840
462;1;null;15.100;3.700;1.660;9.740
463;1;null;9.120;2.960;1.080;5.080
464;1;null;11.680;3.720;6.660;1.300
465;1;null;9.340;3.580;4.920;0.840
466;1;null;11.360;3.240;5.040;3.080
467;1;null;13.300;6.800;3.120;3.380
468;1;null;18.040;5.680;9.280;3.080
469;1;null;8.660;4.740;1.160;2.760
470;1;null;13.680;3.060;7.880;2.740
471;1;null;5.380;3.520;1.400;0.460
472;1;null;17.160;3.240;5.480;8.440
473;1;null;12.040;6.840;4.040;1.160
474;1;null;10.620;5.740;0.980;3.900
475;1;null;17.340;11.220;4.600;1.520
476;1;null;17.180;5.120;4.280;7.780
477;1;null;15.000;4.860;7.180;2.960
478;1;null;7.180;3.380;1.840;1.960
479;1;null;12.620;5.660;3.980;2.980
480;1;null;18.900;5.140;10.000;3.760
481;1;null;9.560;4.400;1.640;3.520
482;1;null;10.520;3.120;4.140;3.260
483;1;null;12.000;4.620;2.760;4.620
484;1;null;8.660;3.380;1.540;3.740
485;1;null;19.540;10.380;7.700;1.460
486;1;null;8.200;3.940;1.100;3.160
487;1;null;10.900;4.760;2.380;3.760
488;1;null;8.800;2.180;1.320;5.300
489;1;null;9.700;1.900;2.820;4.980
490;1;null;23.180;5.080;10.260;7.840
491;1;null;15.340;5.240;4.560;5.540
492;0;DragonEscaped;9.240;9.240;0.000;0.000
493;1;null;12.060;3.560;2.660;5.840
494;1;null;15.840;6.140;4.100;5.600
