episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
23;Extrovert;0;0;0;-1.000;19;35.024;1.652;2.457;9.234;8.900;24.120
23;Intro_Iso;0;0;0;-1.000;9;22.972;1.351;3.128;10.165;2.720;17.480
23;NonConscientious;3;1;0;-1.000;8;51.829;1.900;2.614;7.534;1.420;11.580
23;Neurotic;3;1;0;-1.000;6;26.117;1.237;3.519;4.659;3.720;7.660
24;Extrovert;1;0;0;-1.000;4;27.211;0.518;2.836;5.351;2.480;18.100
24;Intro_Iso;2;1;1;3.999;0;24.280;2.270;4.338;6.857;0.020;0.380
24;NonConscientious;3;1;0;-1.000;1;31.293;1.483;2.870;4.933;1.220;7.260
24;Neurotic;0;0;0;-1.000;3;17.669;0.901;3.063;8.251;2.620;13.220
25;Extrovert;0;0;0;-1.000;30;38.013;0.945;1.794;7.019;4.260;29.440
25;Intro_Iso;2;1;1;28.460;4;26.693;3.000;2.623;8.514;3.520;7.840
25;NonConscientious;1;0;0;-1.000;27;48.189;1.961;2.080;5.645;1.320;19.240
25;Neurotic;3;1;0;-1.000;29;33.047;0.669;1.816;4.663;2.140;27.900
26;Extrovert;0;0;0;-1.000;9;41.737;0.002;2.840;7.129;6.620;20.560
26;Intro_Iso;0;0;0;-1.000;2;29.699;0.020;3.303;7.342;4.980;7.360
26;NonConscientious;6;2;0;-1.000;0;54.409;0.704;3.631;4.575;0.920;3.460
26;Neurotic;0;0;0;-1.000;7;26.110;0.400;3.082;8.871;2.920;16.060
27;Extrovert;0;0;0;-1.000;6;38.739;0.103;3.293;9.416;9.900;22.360
27;Intro_Iso;3;1;1;26.338;4;40.327;0.908;3.706;7.676;2.420;18.560
27;NonConscientious;2;0;0;-1.000;6;57.382;2.419;3.172;6.229;1.220;12.180
27;Neurotic;1;1;0;-1.000;4;18.678;1.593;3.888;4.658;6.020;10.300
28;Extrovert;1;1;0;-1.000;3;13.242;0.001;2.221;6.715;5.020;12.100
28;Intro_Iso;0;0;0;-1.000;1;18.190;1.787;3.244;11.972;0.380;1.940
28;NonConscientious;3;0;0;-1.000;2;22.226;2.317;2.471;9.241;0.220;7.340
28;Neurotic;1;0;0;-1.000;2;9.204;0.546;2.338;6.099;2.120;8.840
29;Extrovert;0;0;0;-1.000;8;37.510;0.558;2.751;5.743;7.580;11.700
29;Intro_Iso;5;2;1;3.261;10;50.154;0.315;2.838;5.244;0.600;12.300
29;NonConscientious;1;0;0;-1.000;12;50.520;1.568;2.446;5.904;1.600;14.860
29;Neurotic;0;0;0;-1.000;6;35.591;1.079;2.791;5.651;2.200;13.380
30;Extrovert;2;2;0;-1.000;5;15.065;0.805;1.979;4.475;2.380;6.140
30;Intro_Iso;3;0;1;3.800;3;29.942;3.000;2.754;6.768;0.420;4.860
30;NonConscientious;1;0;0;-1.000;8;21.161;1.204;2.058;6.214;0.660;10.160
30;Neurotic;0;0;0;-1.000;4;11.220;0.562;2.483;5.574;1.520;7.320
31;Extrovert;1;0;0;-1.000;1;10.552;0.698;4.573;6.114;2.000;2.580
31;Intro_Iso;1;1;0;-1.000;1;20.600;0.079;4.083;8.765;0.280;3.240
31;NonConscientious;2;0;0;-1.000;3;13.948;2.101;3.194;6.938;0.720;6.680
31;Neurotic;0;0;0;-1.000;1;9.689;0.188;4.376;8.198;1.220;2.360
32;Extrovert;2;1;0;-1.000;10;36.058;0.514;2.511;3.950;6.920;28.040
32;Intro_Iso;2;0;0;-1.000;2;26.342;0.143;3.608;4.512;4.820;4.040
32;NonConscientious;2;1;0;-1.000;6;35.211;1.586;2.804;6.019;1.220;12.700
32;Neurotic;0;0;0;-1.000;4;19.495;0.120;3.089;4.938;6.020;18.140
33;Extrovert;0;0;0;-1.000;1;18.006;0.160;2.906;3.514;6.960;7.260
33;Intro_Iso;1;0;1;4.783;1;23.652;3.000;3.366;7.484;2.280;3.560
33;NonConscientious;5;2;0;-1.000;2;24.625;1.743;2.763;5.993;0.820;8.480
33;Neurotic;0;0;0;-1.000;2;10.350;0.165;2.964;6.893;4.620;4.780
34;Extrovert;0;0;0;-1.000;9;24.045;0.983;2.339;6.042;3.120;14.020
34;Intro_Iso;2;1;1;7.840;5;36.716;3.000;2.562;5.965;0.520;8.640
34;NonConscientious;4;1;0;-1.000;5;36.969;3.000;2.389;3.963;0.720;11.980
34;Neurotic;0;0;0;-1.000;7;11.663;3.000;2.145;5.045;0.220;11.660
35;Extrovert;0;0;0;-1.000;2;14.386;0.042;4.065;6.796;2.080;1.680
